,Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
122,222060,Menengai,['Kenya'],Shield,Eruption Dated,8068.0,Africa and Red Sea,-0.2,36.07,2278,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
651,285041,Rishirizan,['Japan'],Stratovolcano,Eruption Dated,7848.0,"Japan, Taiwan, Marianas",45.179,141.242,1721,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
957,322090,Bachelor,['United States'],Stratovolcano,Eruption Dated,7818.0,Canada and Western USA,43.979,-121.688,2763,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
949,321060,West Crater,['United States'],Volcanic field,Eruption Dated,7768.0,Canada and Western USA,45.88,-122.08,1329,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
524,275110,Tengchong,['China'],Pyroclastic cone,Eruption Dated,7768.0,Philippines and SE Asia,25.23,98.5,2865,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
963,322170,Diamond Craters,['United States'],Volcanic field,Eruption Dated,7628.0,Canada and Western USA,43.1,-118.75,1435,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
973,323170,Golden Trout Creek,['United States'],Volcanic field,Eruption Dated,7568.0,Canada and Western USA,36.358,-118.32,2886,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
1324,358080,Pali-Aike Volcanic Field,"['Chile', 'Argentina']",Pyroclastic cone,Eruption Dated,7568.0,South America,-52.082,-69.698,282,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1155,352004,Imbabura,['Ecuador'],Compound,Eruption Dated,7568.0,South America,0.258,-78.183,4609,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1417,390027,Takahe,['Antarctica'],Shield,Eruption Dated,7568.0,Antarctica,-76.28,-112.08,3460,Trachyte / Trachydacite,"['Intraplate', 'Continental crust']"
1137,351011,Romeral,['Colombia'],Stratovolcano,Eruption Dated,7408.0,South America,5.203,-75.363,3769,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
187,232010,Damavand,['Iran'],Stratovolcano,Eruption Dated,7368.0,Middle East and Indian Ocean,35.951,52.109,5670,Trachyandesite / Basaltic Trachyandesite,"['Intraplate', 'Continental crust']"
585,283250,Hachimantai,['Japan'],Stratovolcano,Eruption Dated,7368.0,"Japan, Taiwan, Marianas",39.958,140.854,1613,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
774,300360,Bolshoi-Kekuknaysky,['Russia'],Shield,Eruption Dated,7328.0,Kamchatka and Mainland Asia,56.483,157.917,1401,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1234,355109,Socompa,"['Chile', 'Argentina']",Stratovolcano,Eruption Dated,7268.0,South America,-24.396,-68.246,6031,Dacite,"['Subduction zone', 'Continental crust']"
936,320140,Nazko,['Canada'],Pyroclastic cone,Eruption Dated,7238.0,Canada and Western USA,52.928,-123.732,1238,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
818,302060,Jom-Bolok,['Russia'],Volcanic field,Eruption Dated,7198.0,Kamchatka and Mainland Asia,52.713,99.021,2047,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
214,241021,Mayor Island,['New Zealand'],Shield,Eruption Dated,7078.0,New Zealand to Fiji,-37.28,176.25,355,Rhyolite,"['Subduction zone', 'Continental crust']"
117,222052,Silali,['Kenya'],Shield,Eruption Dated,7068.0,Africa and Red Sea,1.15,36.23,1528,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
1286,357112,Caburgua-Huelemolle,['Chile'],Pyroclastic cone,Eruption Dated,7068.0,South America,-39.25,-71.75,1652,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
763,300271,Piip,['Russia'],Submarine,Eruption Dated,7068.0,Kamchatka and Mainland Asia,55.42,167.33,-300,Dacite,"['Subduction zone', 'Intermediate crust']"
1271,357066,Payun Matru,['Argentina'],Shield,Eruption Dated,7068.0,South America,-36.422,-69.241,3715,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Continental crust']"
298,252150,Tavui,['Papua New Guinea'],Caldera,Eruption Dated,6964.0,Melanesia and Australia,-4.12,152.2,200,Rhyolite,"['Subduction zone', 'Continental crust']"
1309,358050,Corcovado,['Chile'],Stratovolcano,Eruption Dated,6938.0,South America,-43.189,-72.794,1826,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
647,285031,Niseko,['Japan'],Stratovolcano,Eruption Dated,6918.0,"Japan, Taiwan, Marianas",42.875,140.659,1308,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1268,357063,"Longavi, Nevado de",['Chile'],Stratovolcano,Eruption Dated,6908.0,South America,-36.193,-71.161,3242,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
572,283143,Takaharayama,['Japan'],Stratovolcano,Eruption Dated,6588.0,"Japan, Taiwan, Marianas",36.9,139.777,1795,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
765,300273,Cherpuk Group,['Russia'],Pyroclastic cone,Eruption Dated,6568.0,Kamchatka and Mainland Asia,55.55,157.47,1868,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
593,284011,Toshima,['Japan'],Stratovolcano,Eruption Dated,6568.0,"Japan, Taiwan, Marianas",34.52,139.279,508,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
1388,382120,Madeira,['Portugal'],Shield,Eruption Dated,6518.0,Atlantic Ocean,32.73,-16.97,1862,Basalt / Picro-Basalt,"['Intraplate', 'Oceanic crust']"
1052,341093,"Humeros, Los",['Mexico'],Caldera,Eruption Dated,6488.0,México and Central America,19.68,-97.45,3150,Rhyolite,"['Subduction zone', 'Continental crust']"
744,300150,Bolshoi Semiachik,['Russia'],Stratovolcano,Eruption Dated,6468.0,Kamchatka and Mainland Asia,54.32,160.02,1720,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1186,354000,Quimsachata,['Peru'],Lava dome,Eruption Dated,6468.0,South America,-14.176,-71.351,3693,Rhyolite,"['Subduction zone', 'Continental crust']"
234,242021,Macauley,['New Zealand'],Caldera,Eruption Dated,6378.0,New Zealand to Fiji,-30.21,-178.475,238,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
597,284041,Mikurajima,['Japan'],Stratovolcano,Eruption Dated,6118.0,"Japan, Taiwan, Marianas",33.874,139.602,851,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
709,300021,Yavinsky,['Russia'],Stratovolcano,Eruption Dated,6068.0,Kamchatka and Mainland Asia,51.533,156.629,646,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1,210020,Chaine des Puys,['France'],Lava dome,Eruption Dated,6058.0,Mediterranean and Western Asia,45.775,2.97,1464,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
1280,357093,Tolhuaca,['Chile'],Stratovolcano,Evidence Credible,6018.0,South America,-38.31,-71.645,2739,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1057,341098,"Cumbres,  Las",['Mexico'],Stratovolcano,Eruption Dated,5938.0,México and Central America,19.15,-97.27,3940,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
904,312250,Kaguyak,['United States'],Lava dome,Eruption Dated,5868.0,Alaska,58.608,-154.028,901,Dacite,"['Subduction zone', 'Continental crust']"
1153,352002,Chachimbiro,['Ecuador'],Stratovolcano,Eruption Dated,5758.0,South America,0.468,-78.287,4106,Dacite,"['Subduction zone', 'Continental crust']"
3,210040,Calatrava Volcanic Field,['Spain'],Pyroclastic cone,Eruption Dated,5618.0,Mediterranean and Western Asia,38.87,-4.02,1117,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
806,300650,Nylgimelkin,['Russia'],Shield,Eruption Dated,5568.0,Kamchatka and Mainland Asia,57.97,160.65,1764,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
731,300084,Barkhatnaya Sopka,['Russia'],Lava dome,Eruption Dated,5568.0,Kamchatka and Mainland Asia,52.802,158.24,874,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1350,371060,Grimsnes,['Iceland'],Crater rows,Eruption Dated,5518.0,Iceland and Arctic Ocean,64.05,-20.883,200,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
497,273042,Isarog,['Philippines'],Stratovolcano,Eruption Dated,5518.0,Philippines and SE Asia,13.658,123.38,1966,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
991,331010,Endeavour Segment,['Canada'],Submarine,Eruption Dated,5508.0,Hawaii and Pacific Ocean,47.95,-129.1,-2050,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
809,300671,Spokoiny,['Russia'],Stratovolcano,Eruption Dated,5468.0,Kamchatka and Mainland Asia,58.13,160.82,2171,Dacite,"['Subduction zone', 'Continental crust']"
574,283151,Numazawa,['Japan'],Shield,Eruption Dated,5418.0,"Japan, Taiwan, Marianas",37.444,139.566,835,Dacite,"['Subduction zone', 'Continental crust']"
1351,371070,Prestahnukur,['Iceland'],Subglacial,Eruption Dated,5368.0,Iceland and Arctic Ocean,64.583,-20.666,1385,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
979,324040,Hell's Half Acre,['United States'],Shield,Eruption Dated,5268.0,Canada and Western USA,43.5,-112.45,1631,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
984,327110,Carrizozo,['United States'],Pyroclastic cone,Eruption Dated,5268.0,Canada and Western USA,33.78,-105.93,1731,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
1043,341061,Zitacuaro-Valle de Bravo,['Mexico'],Caldera,Eruption Dated,5068.0,México and Central America,19.4,-100.25,3500,Dacite,"['Subduction zone', 'Continental crust']"
571,283142,Omanago Group,['Japan'],Lava dome,Eruption Dated,5068.0,"Japan, Taiwan, Marianas",36.795,139.507,2341,Dacite,"['Subduction zone', 'Continental crust']"
41,214100,Tskhouk-Karckar,"['Armenia', 'Azerbaijan']",Pyroclastic cone,Eruption Dated,5018.0,Mediterranean and Western Asia,39.73,46.02,3000,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
834,306030,Ulreung,['South Korea'],Stratovolcano,Eruption Dated,5008.0,Kamchatka and Mainland Asia,37.5,130.87,984,Trachyandesite / Basaltic Trachyandesite,"['Intraplate', 'Continental crust']"
820,303010,Taryatu-Chulutu,['Mongolia'],Volcanic field,Eruption Dated,4998.0,Kamchatka and Mainland Asia,48.133,99.95,2326,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
165,225050,Meidob Volcanic Field,['Sudan'],Pyroclastic cone,Eruption Dated,4968.0,Africa and Red Sea,15.32,26.47,2000,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
343,259010,Newer Volcanics Province,['Australia'],Shield,Eruption Dated,4918.0,Melanesia and Australia,-37.77,142.5,1011,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
962,322160,Crater Lake,['United States'],Caldera,Eruption Dated,4868.0,Canada and Western USA,42.93,-122.12,2487,Dacite,"['Subduction zone', 'Continental crust']"
958,322100,Davis Lake,['United States'],Volcanic field,Eruption Dated,4808.0,Canada and Western USA,43.57,-121.82,2163,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1003,332030,Mauna Kea,['United States'],Shield,Eruption Dated,4478.0,Hawaii and Pacific Ocean,19.82,-155.47,4205,Basalt / Picro-Basalt,"['Intraplate', 'Oceanic crust']"
1164,352031,Aliso,['Ecuador'],Stratovolcano,Eruption Dated,4468.0,South America,-0.53,-78.0,4267,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1251,355210,"Blanco, Cerro",['Argentina'],Caldera,Eruption Dated,4318.0,South America,-26.789,-67.765,4670,Rhyolite,"['Subduction zone', 'Continental crust']"
998,331040,Escanaba Segment,['Undersea Features'],Submarine,Eruption Dated,4278.0,Hawaii and Pacific Ocean,40.98,-127.5,-1700,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
789,300511,Shisheika,['Russia'],Lava dome,Eruption Dated,4258.0,Kamchatka and Mainland Asia,57.153,161.09,355,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
919,315040,Edgecumbe,['United States'],Stratovolcano,Eruption Dated,4238.0,Alaska,57.05,-135.75,970,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
987,328010,Dotsero,['United States'],Maar,Eruption Dated,4218.0,Canada and Western USA,39.661,-107.035,2230,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
136,223001,Fort Portal,['Uganda'],Tuff cone,Eruption Dated,4138.0,Africa and Red Sea,0.7,30.25,1615,Foidite,"['Rift zone', 'Continental crust']"
28,213004,Acigol-Nevsehir,['Turkey'],Caldera,Eruption Dated,4098.0,Mediterranean and Western Asia,38.537,34.621,1683,Rhyolite,"['Intraplate', 'Continental crust']"
503,273081,Mariveles,['Philippines'],Stratovolcano,Eruption Dated,4068.0,Philippines and SE Asia,14.52,120.47,1388,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
192,233005,Mayotte Island,['France'],Shield,Eruption Dated,4068.0,Middle East and Indian Ocean,-12.83,45.17,660,Basalt / Picro-Basalt,"['Intraplate', 'Oceanic crust']"
810,300680,Ostry,['Russia'],Stratovolcano,Eruption Dated,4068.0,Kamchatka and Mainland Asia,58.18,160.82,2552,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
587,283262,Megata,['Japan'],Maar,Eruption Dated,4068.0,"Japan, Taiwan, Marianas",39.95,139.73,291,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
163,225030,"Marra, Jebel",['Sudan'],Volcanic field,Eruption Dated,4018.0,Africa and Red Sea,12.95,24.27,3042,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
39,214080,Dar-Alages,['Armenia'],Volcanic field,Eruption Dated,4018.0,Mediterranean and Western Asia,39.704,45.551,1637,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
1380,382040,Graciosa,['Portugal'],Stratovolcano,Eruption Dated,3968.0,Atlantic Ocean,39.02,-27.97,402,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
886,312080,Black Peak,['United States'],Stratovolcano,Eruption Dated,3918.0,Alaska,56.552,-158.785,1032,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
38,214070,Ghegam Ridge,['Armenia'],Volcanic field,Eruption Dated,3918.0,Mediterranean and Western Asia,40.275,44.75,3597,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
880,312050,Dana,['United States'],Stratovolcano,Eruption Dated,3908.0,Alaska,55.641,-161.214,1354,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
899,312190,Griggs,['United States'],Stratovolcano,Eruption Dated,3808.0,Alaska,58.354,-155.092,2317,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
847,311111,Moffett,['United States'],Stratovolcano,Eruption Dated,3618.0,Alaska,51.944,-176.747,1196,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
812,300700,Severny,['Russia'],Shield,Eruption Dated,3568.0,Kamchatka and Mainland Asia,58.28,160.87,1936,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1045,341070,"Toluca, Nevado de",['Mexico'],Stratovolcano,Eruption Dated,3368.0,México and Central America,19.108,-99.758,4680,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
980,325010,Yellowstone,['United States'],Caldera,Eruption Dated,3368.0,Canada and Western USA,44.43,-110.67,2805,Rhyolite,"['Rift zone', 'Continental crust']"
1200,354050,Yucamane,['Peru'],Stratovolcano,Eruption Observed,3338.0,South America,-17.184,-70.196,5495,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
912,314010,St. Paul Island,['United States'],Shield,Eruption Dated,3298.0,Alaska,57.18,-170.3,203,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
964,322190,Jordan Craters,['United States'],Volcanic field,Eruption Dated,3268.0,Canada and Western USA,43.147,-117.46,1473,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
1320,358062,Aguilera,['Chile'],Stratovolcano,Eruption Dated,3268.0,South America,-50.33,-73.75,2546,Dacite,"['Subduction zone', 'Continental crust']"
1054,341095,Naolinco Volcanic Field,['Mexico'],Pyroclastic cone,Eruption Dated,3218.0,México and Central America,19.67,-96.75,2000,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1365,373070,Fremrinamar,['Iceland'],Stratovolcano,Eruption Dated,3218.0,Iceland and Arctic Ocean,65.416,-16.666,970,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
180,231110,"Haylan, Jabal",['Yemen'],Volcanic field,Eruption Dated,3218.0,Middle East and Indian Ocean,15.4,45.1,1550,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
992,331011,Cobb Segment,['Canada'],Submarine,Eruption Dated,3198.0,Hawaii and Pacific Ocean,46.88,-129.33,-2100,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
985,327120,Zuni-Bandera,['United States'],Volcanic field,Eruption Dated,3188.0,Canada and Western USA,34.8,-108.0,2550,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
1050,341091,"Malinche, La",['Mexico'],Stratovolcano,Eruption Dated,3188.0,México and Central America,19.231,-98.032,4461,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
850,311140,Koniuji,['United States'],Stratovolcano,Eruption Dated,3168.0,Alaska,52.22,-175.13,273,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
796,300552,Bliznetsy,['Russia'],Lava cone,Eruption Dated,3078.0,Kamchatka and Mainland Asia,57.35,161.37,265,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
648,285032,Yoteizan,['Japan'],Stratovolcano,Eruption Dated,3068.0,"Japan, Taiwan, Marianas",42.827,140.812,1888,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
317,255030,Loloru,['Papua New Guinea'],Pyroclastic shield,Eruption Dated,3068.0,Melanesia and Australia,-6.52,155.62,1887,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
916,315001,Buzzard Creek,['United States'],Tuff ring,Eruption Dated,3068.0,Alaska,64.062,-148.433,830,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
18,211080,Marsili,['Italy'],Submarine,Eruption Dated,3068.0,Mediterranean and Western Asia,39.284,14.399,-779,,['unknown']
1406,390013,"Pleiades, The",['Antarctica'],Stratovolcano,Eruption Dated,3068.0,Antarctica,-72.67,165.5,3040,Trachyandesite / Basaltic Trachyandesite,"['Intraplate', 'Continental crust']"
1072,342120,Tecuamburro,['Guatemala'],Stratovolcano,Eruption Dated,2978.0,México and Central America,14.156,-90.407,1845,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
954,322040,Sand Mountain Field,['United States'],Pyroclastic cone,Eruption Dated,2968.0,Canada and Western USA,44.38,-121.93,1664,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1375,382001,Flores,['Portugal'],Stratovolcano,Eruption Dated,2968.0,Atlantic Ocean,39.462,-31.216,914,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
1149,351090,Azufral,['Colombia'],Stratovolcano,Eruption Dated,2948.0,South America,1.08,-77.68,4070,Dacite,"['Subduction zone', 'Continental crust']"
1367,373090,Theistareykir,['Iceland'],Shield,Eruption Dated,2918.0,Iceland and Arctic Ocean,65.833,-17.166,540,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1140,351021,Santa Isabel,['Colombia'],Shield,Eruption Dated,2868.0,South America,4.818,-75.365,4944,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
740,300124,Zavaritsky,['Russia'],Pyroclastic cone,Eruption Dated,2818.0,Kamchatka and Mainland Asia,53.905,158.385,1567,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
790,300512,Terpuk,['Russia'],Shield,Eruption Dated,2818.0,Kamchatka and Mainland Asia,57.2,159.83,765,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
888,312100,Yantarni,['United States'],Stratovolcano,Eruption Dated,2818.0,Alaska,57.019,-157.185,1345,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
40,214090,Porak,"['Armenia', 'Azerbaijan']",Stratovolcano,Eruption Dated,2796.0,Mediterranean and Western Asia,40.028,45.74,3029,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
35,214020,Kazbek,['Georgia'],Stratovolcano,Eruption Dated,2768.0,Mediterranean and Western Asia,42.7,44.5,5050,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
562,283100,Myokosan,['Japan'],Stratovolcano,Eruption Dated,2768.0,"Japan, Taiwan, Marianas",36.891,138.114,2454,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1191,354005,Huambo,['Peru'],Volcanic field,Eruption Dated,2718.0,South America,-15.83,-72.13,4550,Trachyandesite / Basaltic Trachyandesite,"['Subduction zone', 'Continental crust']"
1303,358024,Apagado,['Chile'],Pyroclastic cone,Eruption Dated,2608.0,South America,-41.88,-72.58,1210,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
797,300560,Titila,['Russia'],Shield,Eruption Dated,2568.0,Kamchatka and Mainland Asia,57.406,160.108,1523,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
753,300221,Vysoky,['Russia'],Stratovolcano,Eruption Dated,2568.0,Kamchatka and Mainland Asia,55.064,160.765,2129,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
739,300123,Bakening,['Russia'],Stratovolcano,Eruption Dated,2568.0,Kamchatka and Mainland Asia,53.905,158.07,2278,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
751,300210,Gamchen,['Russia'],Complex,Eruption Dated,2568.0,Kamchatka and Mainland Asia,54.974,160.703,2539,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
