,Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
132,222161,Igwisi Hills,['Tanzania'],Pyroclastic cone,Eruption Dated,12468.0,Africa and Red Sea,-4.889,31.933,1146,Foidite,"['Rift zone', 'Continental crust']"
570,283141,Nantaisan,['Japan'],Stratovolcano,Eruption Dated,11558.0,"Japan, Taiwan, Marianas",36.765,139.491,2486,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
986,327812,Red Hill,['United States'],Volcanic field,Eruption Dated,11468.0,Canada and Western USA,34.25,-108.83,2300,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
976,324010,Black Butte Crater Lava Field,['United States'],Shield,Eruption Dated,10418.0,Canada and Western USA,43.183,-114.352,1478,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
1412,390022,Berlin,['Antarctica'],Shield,Eruption Dated,10368.0,Antarctica,-76.05,-136.0,3478,Trachyte / Trachydacite,"['Intraplate', 'Continental crust']"
0,210010,West Eifel Volcanic Field,['Germany'],Maar,Eruption Dated,10318.0,Mediterranean and Western Asia,50.17,6.85,600,Foidite,"['Rift zone', 'Continental crust']"
942,320200,Garibaldi,['Canada'],Stratovolcano,Eruption Dated,10078.0,Canada and Western USA,49.85,-123.0,2678,Dacite,"['Subduction zone', 'Continental crust']"
420,264080,Inierie,['Indonesia'],Stratovolcano,Eruption Dated,10068.0,Indonesia,-8.875,120.95,2245,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
143,223040,Karisimbi,"['DR Congo', 'Rwanda']",Stratovolcano,Eruption Dated,10068.0,Africa and Red Sea,-1.506,29.45,4490,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Continental crust']"
730,300083,Vilyuchik,['Russia'],Stratovolcano,Eruption Dated,10068.0,Kamchatka and Mainland Asia,52.7,158.28,2173,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
10,211031,Palinuro,['Italy'],Submarine,Eruption Dated,10058.0,Mediterranean and Western Asia,39.48,14.83,-70,Phonolite,"['Subduction zone', 'Continental crust']"
873,311380,Roundtop,['United States'],Stratovolcano,Eruption Dated,9618.0,Alaska,54.8,-163.589,1871,Rhyolite,"['Subduction zone', 'Continental crust']"
800,300590,Elovsky,['Russia'],Shield,Eruption Dated,9568.0,Kamchatka and Mainland Asia,57.55,160.53,1381,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
118,222053,Paka,['Kenya'],Shield,Eruption Dated,9568.0,Africa and Red Sea,0.92,36.18,1697,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
666,290041,Moekeshiwan [Lvinaya Past],"['Japan ', ' administered by Russia']",Stratovolcano,Eruption Dated,9498.0,Kuril Islands,44.608,146.994,528,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
791,300520,Sedankinsky,['Russia'],Shield,Eruption Dated,9068.0,Kamchatka and Mainland Asia,57.27,160.08,1241,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
931,320080,Hoodoo Mountain,['Canada'],Subglacial,Eruption Dated,9068.0,Canada and Western USA,56.78,-131.28,1850,Phonolite,"['Intraplate', 'Continental crust']"
1262,357041,Infiernillo,['Argentina'],Volcanic field,Eruption Dated,8908.0,South America,-35.123,-69.9,3007,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
29,213010,Erciyes Dagi,['Turkey'],Stratovolcano,Eruption Dated,8898.0,Mediterranean and Western Asia,38.531,35.447,3864,Dacite,"['Intraplate', 'Continental crust']"
547,283001,Abu,['Japan'],Shield,Eruption Dated,8868.0,"Japan, Taiwan, Marianas",34.5,131.6,641,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1308,358049,Yanteles,['Chile'],Stratovolcano,Eruption Dated,8668.0,South America,-43.497,-72.81,2049,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1152,352001,Soche,['Ecuador'],Stratovolcano,Eruption Dated,8668.0,South America,0.552,-77.58,3955,Dacite,"['Subduction zone', 'Continental crust']"
114,222040,Namarunu,['Kenya'],Shield,Eruption Dated,8568.0,Africa and Red Sea,1.98,36.43,817,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
711,300023,Kurile Lake,['Russia'],Caldera,Eruption Dated,8458.0,Kamchatka and Mainland Asia,51.45,157.12,81,Dacite,"['Subduction zone', 'Continental crust']"
950,321070,Indian Heaven,['United States'],Shield,Eruption Dated,8268.0,Canada and Western USA,45.93,-121.82,1806,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
540,282081,Yonemaru-Sumiyoshiike,['Japan'],Maar,Eruption Dated,8218.0,"Japan, Taiwan, Marianas",31.771,130.592,40,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
197,233014,Itasy Volcanic Field,['Madagascar'],Pyroclastic cone,Eruption Dated,8068.0,Middle East and Indian Ocean,-19.033,46.7,1800,Trachyte / Trachydacite,"['Intraplate', 'Continental crust']"
1132,345050,Barva,['Costa Rica'],Complex,Eruption Dated,8068.0,México and Central America,10.135,-84.1,2906,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
